/home/msztu223/miniconda3/envs/pytorch_cuda/bin/python /home/msztu223/PycharmProjects/ECG_PROJ/basic_rythm/main.py

📊 Dataset: cpsc_2018
   SNOMED  Total_Occurrences  Single_Label_Occurrences
 59118001               1857                      1533
164889003               1221                       976
426783006                918                       918
429622005                869                       784
270492004                722                       686
164884008                700                       607
284470004                616                       533
164909002                236                       179
164931005                220                       185

📊 Dataset: cpsc_2018_extra
        SNOMED  Total_Occurrences  Single_Label_Occurrences
     428750005               1293                       545
     164867002               1168                       428
     164930006                481                       290
     164861001                384                       190
     164865005                376                       110
     427084000                303                         2
     426627000                271                         0
     427172004                188                        12
     413844008                161                         2
     164873001                158                        10
     164889003                153                         0
     713427006                113                         0
     270492004                106                         3
     713426002                 86                         0
     284470004                 73                         2
     164931005                 66                        22
      54329005                 62                        10
     429622005                 57                        10
     164890007                 54                        29
      63593006                 53                         1
     426177001                 45                         0
     251120003                 42                         0
     446813000                 40                         0
     195080001                 39                        13
     164909002                 38                         0
      27885002                 27                         2
     164934002                 22                         0
     195042002                 21                         5
      89792004                 20                         1
     446358003                 18                         0
     713422000                 15                         0
     427393009                 11                         0
     164896001                 10                         3
      65778007                  9                         1
      17338001                  8                         0
     195060002                  6                         1
      29320008                  6                         0
     233917008                  5                         1
      59931005                  5                         0
      11157007                  5                         0
     266249003                  5                         0
     426995002                  4                         0
     111975006                  4                         0
     698252002                  4                         0
     251180001                  4                         0
     426783006                  4                         0
      49578007                  3                         0
      10370003                  3                         0
      75532003                  3                         0
     426761007                  3                         0
     251164006                  2                         1
     195126007                  2                         0
     251170000                  2                         0
     426648003                  2                         0
     111288001                  1                         1
     164895002                  1                         0
     413444003                  1                         1
     370365005                  1                         0
     251259000                  1                         0
     164937009                  1                         0
     164921003                  1                         0
     164917005                  1                         0
     426749004                  1                         0
      47665007                  1                         0
      55930002                  1                         1
     704997005                  1                         0
      59118001                  1                         0
67741000119109                  1                         0
      74615001                  1                         0
      77867006                  1                         0
      81898007                  1                         0
      82226007                  1                         0

📊 Dataset: ptb-xl
        SNOMED  Total_Occurrences  Single_Label_Occurrences
     426783006              18092                      6432
     164865005               5261                        52
      39732003               5146                         0
     164951009               3389                         0
     164873001               2359                         9
     164934002               2345                        32
     164861001               2175                         8
     445118002               1626                         9
     164889003               1514                        35
     164884008               1154                         1
     713426002               1118                        13
     429622005               1009                         0
     427084000                826                         0
     270492004                797                         1
     698252002                789                         2
     427393009                772                         0
      55930002                770                        29
     426177001                637                         0
     164917005                548                         0
     713427006                542                         4
     164909002                536                        13
67741000119109                427                         0
     284470004                398                         0
     428750005                381                         0
      54329005                354                         2
      47665007                343                         0
     164947007                340                         0
      10370003                296                       273
      59931005                294                         0
     425419005                219                         2
     251146004                182                         0
     445211001                177                         0
      63593006                157                         0
     251200008                156                         0
     425623009                142                         0
      89792004                126                         0
     111975006                118                         1
     446358003                 99                         1
      11157007                 82                         0
      74390002                 80                         2
     251120003                 77                         0
     164890007                 73                        11
     426434006                 44                         0
     266249003                 30                         0
     164931005                 28                         0
     426761007                 27                         0
      67198005                 24                         3
     251180001                 20                         0
      27885002                 16                         1
     195042002                 14                         0

📊 Dataset: georgia
        SNOMED  Total_Occurrences  Single_Label_Occurrences
     164934002               2306                       127
     428750005               1883                       258
     426783006               1752                      1752
     426177001               1677                       456
     111975006               1391                        48
     427084000               1261                       227
     284470004               1236                         3
     164873001               1233                       220
     164930006                992                         5
      39732003                940                        87
     425623009                905                        11
67741000119109                870                       119
      59931005                812                        40
     270492004                769                        64
     164889003                570                        77
      59118001                542                        72
     164917005                464                         1
     427393009                455                       127
     425419005                451                         0
     713426002                407                        36
      17338001                387                        21
     251146004                374                        73
     426434006                281                         0
     164909002                231                        25
     698252002                203                        12
     164890007                186                         5
     445118002                180                        22
     428417006                140                        29
     164931005                134                         4
       6374002                116                         0
     251120003                 86                         3
      89792004                 86                         0
      47665007                 83                         3
     233917008                 74                         1
     253352002                 72                         8
     266249003                 71                         0
     195126007                 60                         1
     251268003                 52                         5
     251266004                 46                        18
     164884008                 42                         4
     429622005                 38                         2
     426761007                 32                         0
     713422000                 28                         0
     713427006                 28                         2
     445211001                 25                         0
     195042002                 23                         0
     426664006                 19                         0
     253339007                 14                         0
     251139008                 12                         0
     164921003                 10                         3
      27885002                  8                         0
     195101003                  7                         0
     164865005                  7                         0
      55930002                  6                         0
     426627000                  6                         0
     426995002                  5                         0
     426648003                  4                         0
     164896001                  3                         0
      11157007                  2                         0
      74390002                  2                         0
